Month,Percentage,State,Hospital Bed Needed,ICU Beds Needed
18,0.4,DC,982.00 ,205.00 
18,0.4,DE,1355.00 ,295.00 
18,0.4,FL,29954.00 ,6616.00 
18,0.4,GA,13800.00 ,2928.00 
18,0.4,HI,2037.00 ,443.00 
18,0.4,IA,4362.00 ,947.00 
18,0.4,ID,2220.00 ,479.00 
18,0.4,IL,17876.00 ,3831.00 
18,0.4,IN,9121.00 ,1961.00 
18,0.4,KS,3963.00 ,853.00 
18,0.4,KY,6193.00 ,1335.00 
18,0.4,LA,6408.00 ,1372.00 
18,0.4,MA,9798.00 ,2109.00 
18,0.4,MD,8382.00 ,1792.00 
18,0.4,ME,1980.00 ,435.00 
18,0.4,MI,14051.00 ,3041.00 
18,0.4,MN,7610.00 ,1635.00 
18,0.4,MO,8532.00 ,1846.00 
18,0.4,MS,4095.00 ,881.00 
18,0.4,MT,1473.00 ,321.00 
18,0.4,NC,14077.00 ,3031.00 
18,0.4,ND,1039.00 ,223.00 
18,0.4,NE,2583.00 ,556.00 
18,0.4,NH,1946.00 ,421.00 
18,0.4,NJ,12618.00 ,2716.00 
18,0.4,NM,2894.00 ,627.00 
18,0.4,NV,4011.00 ,861.00 
18,0.4,NY,28251.00 ,6076.00 
18,0.4,OH,16365.00 ,3544.00 
18,0.4,OK,5332.00 ,1148.00 
18,0.4,OR,5763.00 ,1249.00 
18,0.4,PA,18491.00 ,4027.00 
18,0.4,PR,5043.00 ,1106.00 
18,0.4,RI,1538.00 ,332.00 
18,0.4,SC,6939.00 ,1506.00 
18,0.4,SD,1174.00 ,254.00 
18,0.4,TN,9263.00 ,1998.00 
18,0.4,TX,36041.00 ,7605.00 
18,0.4,UT,3694.00 ,774.00 
18,0.4,VA,11720.00 ,2506.00 
18,0.4,VT,925.00 ,201.00 
18,0.4,WA,10027.00 ,2147.00 
18,0.4,WI,8125.00 ,1755.00 
18,0.4,WV,2690.00 ,590.00 
18,0.4,WY,805.00 ,173.00 
18,0.6,AK,1461.00 ,304.00 
18,0.6,AL,10233.00 ,2213.00 
18,0.6,AR,6221.00 ,1350.00 
18,0.6,AZ,14227.00 ,3094.00 
18,0.6,CA,80401.00 ,17094.00 
18,0.6,CO,11249.00 ,2387.00 
18,0.6,CT,7731.00 ,1672.00 
18,0.6,DC,1473.00 ,308.00 
18,0.6,DE,2032.00 ,443.00 
18,0.6,FL,44932.00 ,9924.00 
18,0.6,GA,20700.00 ,4392.00 
18,0.6,HI,3056.00 ,665.00 
18,0.6,IA,6542.00 ,1420.00 
18,0.6,ID,3331.00 ,718.00 
18,0.6,IL,26814.00 ,5747.00 
18,0.6,IN,13682.00 ,2942.00 
18,0.6,KS,5945.00 ,1280.00 
18,0.6,KY,9289.00 ,2002.00 
18,0.6,LA,9612.00 ,2058.00 
18,0.6,MA,14698.00 ,3163.00 
18,0.6,MD,12572.00 ,2689.00 
18,0.6,ME,2970.00 ,653.00 
18,0.6,MI,21077.00 ,4561.00 
18,0.6,MN,11415.00 ,2453.00 
18,0.6,MO,12798.00 ,2769.00 
18,0.6,MS,6142.00 ,1321.00 
18,0.6,MT,2210.00 ,482.00 
18,0.6,NC,21116.00 ,4547.00 
18,0.6,ND,1558.00 ,334.00 
18,0.6,NE,3875.00 ,835.00 
18,0.6,NH,2918.00 ,632.00 
18,0.6,NJ,18927.00 ,4074.00 
18,0.6,NM,4341.00 ,941.00 
18,0.6,NV,6017.00 ,1292.00 
18,0.6,NY,42376.00 ,9114.00 
18,0.6,OH,24547.00 ,5315.00 
18,0.6,OK,7998.00 ,1722.00 
18,0.6,OR,8645.00 ,1874.00 
18,0.6,PA,27737.00 ,6040.00 
18,0.6,PR,7565.00 ,1660.00 
18,0.6,RI,2306.00 ,498.00 
18,0.6,SC,10409.00 ,2259.00 
18,0.6,SD,1761.00 ,381.00 
18,0.6,TN,13894.00 ,2998.00 
18,0.6,TX,54062.00 ,11407.00 
18,0.6,UT,5542.00 ,1161.00 
18,0.6,VA,17580.00 ,3760.00 
18,0.6,VT,1387.00 ,302.00 
18,0.6,WA,15041.00 ,3221.00 
18,0.6,WI,12187.00 ,2632.00 
18,0.6,WV,4035.00 ,885.00 
18,0.6,WY,1207.00 ,259.00 
