State,City,Percentage,Projected_Infected,Projected_Hospitalized,Projected_ICUed
WA,Yakima,0.4,88389,18341,3926
PA,York,0.4,137334,28897,6289
OH,Youngstown,0.4,197451,42234,9369
OH,Akron,0.6,328794,68800,14876
CA,Alameda County,0.6,786113,161616,34200
GA,Albany,0.6,94286,19651,4229
NY,Albany,0.6,886634,186626,40636
NM,Albuquerque,0.6,802077,168324,36521
LA,Alexandria,0.6,132958,27800,6005
PA,Allentown,0.6,576343,121326,26421
PA,Altoona,0.6,140736,29959,6610
TX,Amarillo,0.6,199603,41417,8864
AK,Anchorage,0.6,331147,67155,13967
MI,Ann Arbor,0.6,669353,139096,29825
WI,Appleton,0.6,152728,32004,6931
VA,Arlington,0.6,1145722,233085,48674
NC,Asheville,0.6,331879,71412,15949
GA,Atlanta,0.6,3016369,618672,130533
GA,Augusta,0.6,324145,67610,14563
IL,Aurora,0.6,147386,29943,6242
TX,Austin,0.6,914068,185553,38641
CA,Bakersfield,0.6,508269,103600,21687
MD,Baltimore,0.6,1209002,251357,53927
ME,Bangor,0.6,191132,40756,9009
LA,Baton Rouge,0.6,448114,92385,19617
TX,Beaumont,0.6,213823,44652,9631
OR,Bend,0.6,113926,24342,5393
MT,Billings,0.6,285912,59891,12966
NY,Binghamton,0.6,171692,36443,8013
