State,City,Month,Percentage,Hospital Bed Needed,ICU Bed Needed
GA,Columbus,6,0.6,2317,493
OH,Columbus,6,0.6,19960,4270
CA,Contra Costa County,6,0.6,7024,1507
TX,Corpus Christi,6,0.6,3659,785
KY,Covington,6,0.6,2702,575
TX,Dallas,6,0.6,31999,6711
PA,Danville,6,0.6,4038,875
IA,Davenport,6,0.6,3212,704
OH,Dayton,6,0.6,6949,1512
MI,Dearborn,6,0.6,3195,689
CO,Denver,6,0.6,19534,4123
IA,Des Moines,6,0.6,7251,1560
MI,Detroit,6,0.6,10966,2359
AL,Dothan,6,0.6,2454,537
IA,Dubuque,6,0.6,1064,233
MN,Duluth,6,0.6,2328,511
NC,Durham,6,0.6,9194,1990
NY,East Long Island,6,0.6,31821,6860
TX,El Paso,6,0.6,6933,1476
IL,Elgin,6,0.6,5024,1064
NY,Elmira,6,0.6,2160,474
OH,Elyria,6,0.6,1689,369
PA,Erie,6,0.6,4759,1045
OR,Eugene,6,0.6,5123,1126
IL,Evanston,6,0.6,6029,1322
IN,Evansville,6,0.6,4458,972
WA,Everett,6,0.6,4521,972
ND,Fargo/Moorhead MN,6,0.6,3627,787
MI,Flint,6,0.6,3581,777
SC,Florence,6,0.6,2426,529
CO,Fort Collins,6,0.6,2368,501
FL,Fort Lauderdale,6,0.6,20568,4579
FL,Fort Myers,6,0.6,9621,2233
AR,Fort Smith,6,0.6,2380,520
